scenario,family,label,precision,recall,f1,support
one-data-set-out,catboost,fgm,0.3684210526315789,0.3888888888888889,0.3783783783783784,18.0
one-data-set-out,catboost,hsj,0.6140350877192983,0.6481481481481481,0.6306306306306306,54.0
one-data-set-out,catboost,org,0.6506024096385542,0.75,0.6967741935483871,72.0
one-data-set-out,catboost,pgd,0.0,0.0,0.0,18.0
one-data-set-out,catboost,zoo,0.5614035087719298,0.5925925925925926,0.5765765765765766,54.0
one-data-set-out,extratrees,bim,0.34375,0.6111111111111112,0.44,18.0
one-data-set-out,extratrees,fgm,0.4666666666666667,0.3888888888888889,0.42424242424242425,18.0
one-data-set-out,extratrees,hsj,0.6190476190476191,0.48148148148148145,0.5416666666666666,54.0
one-data-set-out,extratrees,org,0.8470588235294118,1.0,0.9171974522292994,72.0
one-data-set-out,extratrees,pgd,0.8333333333333334,0.2777777777777778,0.4166666666666667,18.0
one-data-set-out,extratrees,zoo,0.5925925925925926,0.5925925925925926,0.5925925925925926,54.0
one-data-set-out,mlp,bim,0.3333333333333333,0.8333333333333334,0.47619047619047616,18.0
one-data-set-out,mlp,fgm,0.0,0.0,0.0,18.0
one-data-set-out,mlp,hsj,0.453125,0.5370370370370371,0.4915254237288136,54.0
one-data-set-out,mlp,org,0.7386363636363636,0.9027777777777778,0.8125,72.0
one-data-set-out,mlp,pgd,0.0,0.0,0.0,18.0
one-data-set-out,mlp,zoo,0.4864864864864865,0.3333333333333333,0.3956043956043956,54.0
one-data-set-out,rf,bim,0.75,0.16666666666666666,0.2727272727272727,18.0
one-data-set-out,rf,fgm,0.5,0.3333333333333333,0.4,18.0
one-data-set-out,rf,hsj,0.7450980392156863,0.7037037037037037,0.7238095238095238,54.0
one-data-set-out,rf,org,0.7674418604651163,0.9166666666666666,0.8354430379746836,72.0
one-data-set-out,rf,pgd,0.4666666666666667,0.7777777777777778,0.5833333333333334,18.0
one-data-set-out,rf,zoo,0.6862745098039216,0.6481481481481481,0.6666666666666666,54.0
one-data-set-out,voting,bim,0.3684210526315789,0.3888888888888889,0.3783783783783784,18.0
one-data-set-out,voting,fgm,0.5833333333333334,0.3888888888888889,0.4666666666666667,18.0
one-data-set-out,voting,hsj,0.29411764705882354,0.09259259259259259,0.14084507042253522,54.0
one-data-set-out,voting,org,0.6931818181818182,0.8472222222222222,0.7625,72.0
one-data-set-out,voting,pgd,0.625,0.2777777777777778,0.38461538461538464,18.0
one-data-set-out,voting,zoo,0.4,0.6666666666666666,0.5,54.0
one-data-set-out,xgb,bim,0.3333333333333333,0.6111111111111112,0.43137254901960786,18.0
one-data-set-out,xgb,fgm,0.5384615384615384,0.3888888888888889,0.45161290322580644,18.0
one-data-set-out,xgb,hsj,0.7352941176470589,0.46296296296296297,0.5681818181818182,54.0
one-data-set-out,xgb,org,0.8181818181818182,0.75,0.782608695652174,72.0
one-data-set-out,xgb,pgd,0.625,0.2777777777777778,0.38461538461538464,18.0
one-data-set-out,xgb,zoo,0.4875,0.7222222222222222,0.582089552238806,54.0
one-model-out,catboost,bim,0.0,0.0,0.0,18.0
one-model-out,catboost,fgm,0.0,0.0,0.0,18.0
one-model-out,catboost,hsj,0.75,0.7777777777777778,0.7636363636363637,54.0
one-model-out,catboost,org,0.5217391304347826,1.0,0.6857142857142857,72.0
one-model-out,catboost,pgd,0.0,0.0,0.0,18.0
one-model-out,catboost,zoo,0.85,0.6296296296296297,0.723404255319149,54.0
one-model-out,extratrees,bim,0.0,0.0,0.0,18.0
one-model-out,extratrees,fgm,0.0,0.0,0.0,18.0
one-model-out,extratrees,hsj,0.82,0.7592592592592593,0.7884615384615384,54.0
one-model-out,extratrees,org,0.5217391304347826,1.0,0.6857142857142857,72.0
one-model-out,extratrees,pgd,0.0,0.0,0.0,18.0
one-model-out,extratrees,zoo,0.8478260869565217,0.7222222222222222,0.78,54.0
one-model-out,mlp,bim,0.0,0.0,0.0,18.0
one-model-out,mlp,fgm,0.0,0.0,0.0,18.0
one-model-out,mlp,hsj,0.6176470588235294,0.7777777777777778,0.6885245901639344,54.0
one-model-out,mlp,org,0.5275590551181102,0.9305555555555556,0.6733668341708543,72.0
one-model-out,mlp,pgd,0.0,0.0,0.0,18.0
one-model-out,mlp,zoo,0.8461538461538461,0.6111111111111112,0.7096774193548387,54.0
one-model-out,rf,bim,0.0,0.0,0.0,18.0
one-model-out,rf,fgm,0.0,0.0,0.0,18.0
one-model-out,rf,hsj,0.6829268292682927,0.5185185185185185,0.5894736842105263,54.0
one-model-out,rf,org,0.55,0.9166666666666666,0.6875,72.0
one-model-out,rf,pgd,0.0,0.0,0.0,18.0
one-model-out,rf,zoo,0.5616438356164384,0.7592592592592593,0.6456692913385826,54.0
one-model-out,voting,bim,0.0,0.0,0.0,18.0
one-model-out,voting,fgm,0.0,0.0,0.0,18.0
one-model-out,voting,hsj,0.8974358974358975,0.6481481481481481,0.7526881720430108,54.0
one-model-out,voting,org,0.5217391304347826,1.0,0.6857142857142857,72.0
one-model-out,voting,pgd,0.0,0.0,0.0,18.0
one-model-out,voting,zoo,0.7719298245614035,0.8148148148148148,0.7927927927927928,54.0
one-model-out,xgb,bim,0.0,0.0,0.0,18.0
one-model-out,xgb,fgm,0.0,0.0,0.0,18.0
one-model-out,xgb,hsj,0.8888888888888888,0.5925925925925926,0.7111111111111111,54.0
one-model-out,xgb,org,0.5142857142857142,1.0,0.6792452830188679,72.0
one-model-out,xgb,pgd,0.0,0.0,0.0,18.0
one-model-out,xgb,zoo,0.7241379310344828,0.7777777777777778,0.75,54.0
