family,trial,objective,selection_bacc,selection_kappa,dataset_bacc,dataset_kappa,model_bacc,model_kappa,state,top_k,variance_threshold,corr_threshold,resampler,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,iterations,depth,l2_leaf_reg,random_strength,bagging_temperature,min_samples_split,min_samples_leaf,max_features,hidden_layer_sizes,alpha,learning_rate_init,activation
catboost,13,0.4620503962874357,0.46168981481481475,0.3605814726209463,0.34259259259259256,0.255595427963849,0.6828703703703703,0.5555555555555556,TrialState.COMPLETE,50,0.0,0.98,smote,,,0.10904341345144496,,,,,,240.0,3.0,2.023646102475201,1.4291171207961755,2.9627198738507134,,,,,,,
catboost,14,0.4584583501158098,0.4581018518518518,0.3564982639580208,0.34953703703703703,0.26801014967900644,0.6597222222222222,0.5208333333333333,TrialState.COMPLETE,35,0.0,0.95,ros,,,0.16883687554757582,,,,,,520.0,3.0,19.349920298103438,3.7962561276645252,1.9857661280568184,,,,,,,
catboost,15,0.4434330208148739,0.44309413580246915,0.3388850124047492,0.33641975308641975,0.2558701045543151,0.6412037037037037,0.4930555555555556,TrialState.COMPLETE,none,0.0001,0.98,smote,,,0.05880655768959619,,,,,,440.0,2.0,2.0184967592515615,1.176764318312108,2.479959521577623,,,,,,,
catboost,16,0.5106064929555446,0.5101466049382716,0.4598880172730371,0.43209876543209874,0.4308106248645014,0.6550925925925926,0.513888888888889,TrialState.COMPLETE,none,0.0,0.98,smote,,,0.03934035626709924,,,,,,80.0,4.0,6.551772133277646,0.415082539142841,0.926769561898617,,,,,,,
catboost,17,0.45400982005512636,0.45366512345679005,0.3446965983363043,0.36265432098765427,0.2797682709447416,0.6226851851851851,0.4652777777777778,TrialState.COMPLETE,12,0.0,0.98,smote,,,0.08409683872868937,,,,,,240.0,4.0,6.2930710986017555,0.7692342443707256,0.7321857909256966,,,,,,,
catboost,18,0.4817535176405333,0.4813657407407407,0.3877768997926283,0.3703703703703703,0.29369523045019735,0.6875,0.5625,TrialState.COMPLETE,50,0.0,0.95,none,,,0.0318981437454678,,,,,,600.0,8.0,2.20978382065747,0.0695181974386827,1.0253414923424535,,,,,,,
catboost,19,0.443928010609637,0.44359567901234565,0.3323315972913541,0.3371913580246913,0.24578792745678416,0.6412037037037037,0.4930555555555555,TrialState.COMPLETE,35,1e-06,0.9,ros,,,0.14896509923012513,,,,,,440.0,4.0,5.442728504496395,1.6501939839411746,0.6668535066434007,,,,,,,
catboost,20,0.46460126471674024,0.46423611111111107,0.365153605629167,0.35648148148148145,0.277586743702992,0.6643518518518519,0.5277777777777778,TrialState.COMPLETE,20,0.0001,0.98,smote,,,0.0653982881914594,,,,,,160.0,4.0,13.110500914364197,0.5952720817811807,1.5949116001660084,,,,,,,
catboost,21,0.5124358285670804,0.5119984567901235,0.43737177695693186,0.42746913580246915,0.38495230642946776,0.6689814814814815,0.5347222222222222,TrialState.COMPLETE,none,0.0,0.98,smote,,,0.04286390408773995,,,,,,80.0,3.0,12.700992242780483,1.8621852163410484,1.692154109322844,,,,,,,
catboost,22,0.4645878336514753,0.46423611111111107,0.35172254036427264,0.35648148148148145,0.2569235663723853,0.6643518518518519,0.5277777777777778,TrialState.COMPLETE,none,0.0,0.98,smote,,,0.04700429568654156,,,,,,200.0,2.0,12.719016296060069,1.847408922855612,1.0809063577815707,,,,,,,
catboost,23,0.49513680477157196,0.4947145061728395,0.42229859873242226,0.40586419753086417,0.3692414339473163,0.6597222222222222,0.5208333333333334,TrialState.COMPLETE,none,0.0,0.98,smote,,,0.02812305641009699,,,,,,80.0,3.0,6.639722531513337,2.2235862386288434,0.5179725258221566,,,,,,,
catboost,24,0.4647604297185853,0.4643904320987654,0.3699976198198675,0.36419753086419754,0.29625702194509534,0.6504629629629629,0.5069444444444444,TrialState.COMPLETE,none,0.0,0.98,smote,,,0.10652525715921933,,,,,,320.0,4.0,10.61046349171197,0.6195501366268188,1.6708050006333919,,,,,,,
catboost,25,0.4919141436062008,0.49151234567901225,0.4017979271885522,0.415895061728395,0.36013783670033667,0.6319444444444444,0.4791666666666667,TrialState.COMPLETE,12,0.0,0.98,smote,,,0.03612335840971719,,,,,,160.0,2.0,2.76421528244766,0.9583021044068158,2.2399317671159222,,,,,,,
catboost,26,0.4734006378085315,0.4730324074074074,0.3682304011241019,0.375,0.28979890771229355,0.6550925925925926,0.5138888888888888,TrialState.COMPLETE,none,0.0,0.98,smote,,,0.05869383510983305,,,,,,280.0,5.0,5.313611435024065,2.5344320143725376,2.708841376600377,,,,,,,
catboost,27,0.4419179916269204,0.44158950617283954,0.3284854540808877,0.334104938271605,0.23987078405606652,0.6412037037037036,0.4930555555555555,TrialState.COMPLETE,none,0.0,0.9,ros,,,0.24724593191362246,,,,,,160.0,3.0,1.0392532024415484,1.6194962936679853,0.9598293532330854,,,,,,,
catboost,28,0.48679521295820727,0.48638117283950616,0.41404011870113566,0.4104938271604938,0.3827112937282429,0.6273148148148148,0.4722222222222222,TrialState.COMPLETE,12,0.0001,0.95,none,,,0.02511183824975695,,,,,,120.0,3.0,7.9453398397781685,0.3062015153410753,0.38726206531509355,,,,,,,
catboost,29,0.4750594715862632,0.4746913580246913,0.36811356157188163,0.41743827160493824,0.3494482143840914,0.5810185185185185,0.4027777777777778,TrialState.COMPLETE,none,1e-06,1.0,smoteenn,,,0.03768898728774017,,,,,,80.0,2.0,14.334758979801302,3.502074969895635,1.3560754155350068,,,,,,,
catboost,30,0.4903342322683355,0.48993055555555554,0.40367671277997363,0.39351851851851855,0.33311374615722444,0.6689814814814814,0.5347222222222222,TrialState.COMPLETE,35,1e-06,0.98,smote,,,0.020140843299399358,,,,,,560.0,4.0,4.879063738381596,2.672862130351482,2.7759739229639058,,,,,,,
catboost,31,0.49875863146117694,0.49834104938271606,0.41758207846085516,0.4089506172839506,0.3582459326748199,0.6643518518518519,0.5277777777777778,TrialState.COMPLETE,none,0.0,0.98,smote,,,0.04705488034774815,,,,,,80.0,3.0,16.220395542190417,3.6012967981763304,1.9183035782594378,,,,,,,
catboost,32,0.5268981613843751,0.5264274691358024,0.4706922485726833,0.45216049382716045,0.4399538866930171,0.6643518518518519,0.5277777777777778,TrialState.COMPLETE,none,0.0,0.98,smote,,,0.043128832645572386,,,,,,120.0,3.0,19.12248078869773,1.8926525574688995,2.1687379214644458,,,,,,,
catboost,33,0.48831840451209374,0.4879243827160493,0.3940217960444339,0.3904320987654321,0.31826002810254783,0.6689814814814814,0.5347222222222222,TrialState.COMPLETE,none,0.0,0.98,smote,,,0.06810777221099477,,,,,,120.0,2.0,11.760461603033233,1.9589555132334528,2.2756894729579233,,,,,,,
catboost,34,0.4751062095629497,0.47472993827160487,0.37627129134482074,0.36265432098765427,0.2797336106159635,0.6828703703703703,0.5555555555555556,TrialState.COMPLETE,20,0.0,0.98,smote,,,0.07520703081775727,,,,,,200.0,5.0,14.907215982364422,2.7830157309750576,2.491447746617498,,,,,,,
catboost,35,0.46384120290203623,0.4634645061728395,0.37669672919672914,0.3503086419753087,0.2878667628667629,0.6736111111111112,0.5416666666666666,TrialState.COMPLETE,none,0.0,0.95,none,,,0.03977500768512361,,,,,,120.0,5.0,1.497095872462637,2.3271442464611614,0.032368751982067234,,,,,,,
catboost,36,0.48809466129203916,0.4876929012345679,0.4017600574712644,0.3950617283950617,0.3376436781609196,0.6597222222222222,0.5208333333333334,TrialState.COMPLETE,none,0.0,0.9,smote,,,0.03396094359700675,,,,,,200.0,4.0,8.256859203762774,1.712844834674442,2.1253309034518524,,,,,,,
catboost,37,0.44373167396717283,0.4434027777777778,0.32889618939504256,0.35185185185185186,0.2629385819752792,0.6134259259259259,0.45138888888888884,TrialState.COMPLETE,12,1e-10,0.98,smoteenn,,,0.054140888884621124,,,,,,360.0,3.0,9.497255582725971,2.1674999094087957,1.6846142552673204,,,,,,,
catboost,38,0.4768189055393112,0.4764274691358025,0.39143640350877196,0.38271604938271603,0.3292397660818714,0.650462962962963,0.5069444444444444,TrialState.COMPLETE,none,0.0001,1.0,smote,,,0.10247971678126928,,,,,,680.0,2.0,3.9757223469518954,1.3092627495174765,2.576343287985863,,,,,,,
