dataset,model,attack,bacc_test,n_test,n_classes,neighborhood_size_mean,neighborhood_size_q0,neighborhood_size_q25,neighborhood_size_q50,neighborhood_size_q75,neighborhood_size_q1,neighborhood_size_minmax,uncertainty_mean,uncertainty_q0,uncertainty_q25,uncertainty_q50,uncertainty_q75,uncertainty_q1,uncertainty_minmax,target_approx_consistency_in_neighborhood_mean,target_approx_consistency_in_neighborhood_q0,target_approx_consistency_in_neighborhood_q25,target_approx_consistency_in_neighborhood_q50,target_approx_consistency_in_neighborhood_q75,target_approx_consistency_in_neighborhood_q1,target_approx_consistency_in_neighborhood_minmax,pred_targets_consistency_in_neighborhood_mean,pred_targets_consistency_in_neighborhood_q0,pred_targets_consistency_in_neighborhood_q25,pred_targets_consistency_in_neighborhood_q50,pred_targets_consistency_in_neighborhood_q75,pred_targets_consistency_in_neighborhood_q1,pred_targets_consistency_in_neighborhood_minmax,target_targets_consistency_in_neighborhood_mean,target_targets_consistency_in_neighborhood_q0,target_targets_consistency_in_neighborhood_q25,target_targets_consistency_in_neighborhood_q50,target_targets_consistency_in_neighborhood_q75,target_targets_consistency_in_neighborhood_q1,target_targets_consistency_in_neighborhood_minmax,targets_and_approxs_consistency_in_neighborhood_mean,targets_and_approxs_consistency_in_neighborhood_q0,targets_and_approxs_consistency_in_neighborhood_q25,targets_and_approxs_consistency_in_neighborhood_q50,targets_and_approxs_consistency_in_neighborhood_q75,targets_and_approxs_consistency_in_neighborhood_q1,targets_and_approxs_consistency_in_neighborhood_minmax,target_diversity_in_neighborhood_mean,target_diversity_in_neighborhood_q0,target_diversity_in_neighborhood_q25,target_diversity_in_neighborhood_q50,target_diversity_in_neighborhood_q75,target_diversity_in_neighborhood_q1,target_diversity_in_neighborhood_minmax,approx_diversity_in_neighborhood_mean,approx_diversity_in_neighborhood_q0,approx_diversity_in_neighborhood_q25,approx_diversity_in_neighborhood_q50,approx_diversity_in_neighborhood_q75,approx_diversity_in_neighborhood_q1,approx_diversity_in_neighborhood_minmax,window_id,window_source,window_rows
banknote,xgb,hsj,0.0032679738562091,275,2,25.247272727272726,1.0,20.0,32.0,32.0,32.0,31.0,0.379028430457647,5.629246792812578e-07,0.04676292735305425,0.2654835989450378,0.7097527449730122,0.9999998202533036,0.9999992573286243,0.6194899307094537,0.0,0.46770833333333334,0.6666666666666666,0.8086080586080586,1.0,1.0,0.3834587916208476,0.0,0.19139194139194135,0.3333333333333333,0.5416666666666667,1.0,1.0,0.620177572015516,0.0,0.4666666666666667,0.6666666666666666,0.8110119047619048,1.0,1.0,0.997713957095536,0.8,1.0,1.0,1.0,1.0,0.19999999999999996,0.7509297979600105,4.1305960435927445e-11,0.631324952222807,0.8571484374283717,0.954434002924965,1.0,0.999999999958694,0.7519570102199177,4.1305960435927445e-11,0.6437049604352726,0.8453509366224364,0.954434002924965,1.0,0.999999999958694,full,full_group,
banknote,xgb,org,0.9967320261437908,275,2,25.483636363636364,1.0,19.0,32.0,32.0,32.0,31.0,4.638541849135129e-05,4.130580026464068e-11,8.211367922496199e-09,4.404525150671157e-08,3.1930593955840076e-07,0.0063883699596207,0.0063883699183149,0.9409183200370446,0.375,0.9354166666666666,1.0,1.0,1.0,0.625,0.9394307167312593,0.0,0.9375,1.0,1.0,1.0,1.0,0.943067080367623,0.375,0.9375,1.0,1.0,1.0,0.625,0.9978512396694214,0.5,1.0,1.0,1.0,1.0,0.5,0.18236662053860858,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.3372900666170139,1.0,0.999999999958694,0.1876011550362046,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.3453247008192176,1.0,0.999999999958694,full,full_group,
banknote,xgb,zoo,0.1512643308689596,275,2,20.509090909090908,1.0,9.0,24.0,32.0,32.0,31.0,0.3131793852016377,2.9313554157550503e-10,0.0002505598713085,0.0856749503535453,0.6548547007067211,0.9999993355554504,0.9999993352623149,0.642029821906865,0.0,0.4,0.6785714285714286,1.0,1.0,1.0,0.516274094870012,0.0,0.25,0.5,0.787176724137931,1.0,1.0,0.6437259051299881,0.0,0.4,0.6785714285714286,1.0,1.0,1.0,0.9969518668660033,0.5,1.0,1.0,1.0,1.0,0.5,0.5657871996269056,4.1305960435927445e-11,4.1305960435927445e-11,0.7793498372920851,0.9283620723948678,1.0,0.999999999958694,0.5676521579036612,4.1305960435927445e-11,4.1305960435927445e-11,0.7706290693639406,0.9283620723948678,1.0,0.999999999958694,full,full_group,
diabetes,lin,hsj,0.3242592592592592,154,2,23.792207792207794,1.0,15.0,31.5,32.0,32.0,31.0,0.993106522162529,0.9308419516256856,0.9902877593023192,0.996060692921207,0.9990140279689337,0.9999999376838824,0.06915798605819679,0.5853737446560207,0.0,0.38448275862068965,0.6583333333333333,0.78125,1.0,1.0,0.45273184373199865,0.0,0.34375,0.4375,0.5607638888888888,1.0,1.0,0.5545189846725371,0.2,0.4411111111111111,0.5625,0.65625,1.0,0.8,0.6863886308100627,0.0,0.625,0.6875,0.75,1.0,1.0,0.919044287811141,4.1305960435927445e-11,0.8960382325345574,0.954434002924965,0.9886994082884974,1.0,0.999999999958694,0.7932811561611925,4.1305960435927445e-11,0.6962122601251458,0.8571484374283717,0.954434002924965,1.0,0.999999999958694,full,full_group,
diabetes,lin,org,0.6757407407407408,154,2,23.51948051948052,1.0,14.0,31.5,32.0,32.0,31.0,0.7758196899564574,0.0883268472276422,0.6377381402862357,0.8272850508283709,0.948239822336481,0.9999892000820731,0.911662352854431,0.6865661853328908,0.0,0.4545454545454545,0.8181818181818182,1.0,1.0,1.0,0.6961026080890252,0.0,0.5625,0.71875,0.875,1.0,1.0,0.6651322256576039,0.09375,0.5046296296296297,0.7165178571428572,0.875,1.0,0.90625,0.75095621500497,0.0,0.6439075630252101,0.75,0.875,1.0,1.0,0.7411894884266901,4.1305960435927445e-11,0.5435644431995964,0.8283145305407846,0.9692326370430588,1.0,0.999999999958694,0.4348051070834868,4.1305960435927445e-11,4.1305960435927445e-11,0.3372900666170139,0.8786842917318607,1.0,0.999999999958694,full,full_group,
diabetes,lin,zoo,0.0648148148148148,154,2,21.116883116883116,1.0,11.0,22.5,32.0,32.0,31.0,0.9651628770779926,0.521949667675576,0.9698546989518784,0.9929758436389504,0.9991594094634405,0.999998591208214,0.47804892353263795,0.538969652954068,0.0,0.3460477941176471,0.6,0.75,1.0,1.0,0.49062944773668715,0.0,0.3684210526315789,0.4772256728778468,0.59375,1.0,1.0,0.519862363084071,0.0,0.4090909090909091,0.5370879120879121,0.631578947368421,1.0,1.0,0.6730840755732226,0.0,0.6092995169082126,0.6875,0.75,1.0,1.0,0.8832773960197081,4.1305960435927445e-11,0.8658356884568128,0.954434002924965,0.9886994082884974,1.0,0.999999999958694,0.7143655859960432,4.1305960435927445e-11,0.6252624052234231,0.8409958392818019,0.9449160257643531,1.0,0.999999999958694,full,full_group,
diabetes,nn,bim,0.2781481481481481,154,2,9.96103896103896,1.0,3.0,7.0,16.0,32.0,31.0,0.34399976325703097,0.0024006044363136,0.0758199077793304,0.33050248086961564,0.5447010547468051,0.9999946593297876,0.997594054893474,0.5252299620212348,0.0,0.20555555555555555,0.5590277777777778,0.8250000000000001,1.0,1.0,0.6383980554504788,0.0,0.5,0.6363636363636364,0.8671875,1.0,1.0,0.5255475479884647,0.0,0.3333333333333333,0.5,0.7424999999999999,1.0,1.0,0.7084017316573011,0.0,0.5714285714285714,0.7142857142857143,1.0,1.0,1.0,0.6304140218878486,4.1305960435927445e-11,4.1305960435927445e-11,0.8601345029975014,0.9852281360342516,1.0,0.999999999958694,0.525684222840092,4.1305960435927445e-11,4.1305960435927445e-11,0.7219280948873623,0.954434002924965,1.0,0.999999999958694,full,full_group,
diabetes,nn,fgm,0.3201851851851852,154,2,8.11038961038961,1.0,1.0,5.0,12.0,32.0,31.0,0.3870757708351193,0.0005187217130206,0.13361367965102042,0.3287497957512705,0.5932731744648474,0.998991776402436,0.9984730546894154,0.5226266668747253,0.0,0.0,0.5486111111111112,1.0,1.0,1.0,0.6843626417675264,0.0,0.5,0.7142857142857143,1.0,1.0,1.0,0.4720049975885375,0.0,0.2,0.45227272727272727,0.7395833333333334,1.0,1.0,0.6849079390044104,0.0,0.5,0.7,1.0,1.0,1.0,0.5353527892293815,4.1305960435927445e-11,4.1305960435927445e-11,0.7399032787128789,0.9595359542733982,1.0,0.999999999958694,0.40104184510633417,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.879463436454859,1.0,0.999999999958694,full,full_group,
diabetes,nn,org,0.6757407407407408,154,2,23.51948051948052,1.0,14.0,31.5,32.0,32.0,31.0,0.5201870235827267,0.0002297424487973,0.1296046706755347,0.5653219079175429,0.896362104565724,0.9996733128874544,0.9994435704386572,0.6935591319997505,0.0,0.4511363636363636,0.80625,1.0,1.0,1.0,0.7023939908555861,0.0,0.5647321428571428,0.71875,0.875,1.0,1.0,0.6651322256576039,0.09375,0.5046296296296297,0.7165178571428572,0.875,1.0,0.90625,0.7564016364933656,0.0,0.65625,0.7619047619047619,0.875,1.0,1.0,0.7411894884266901,4.1305960435927445e-11,0.5435644431995964,0.8283145305407846,0.9692326370430588,1.0,0.999999999958694,0.4731877063593994,4.1305960435927445e-11,4.1305960435927445e-11,0.5330619088682687,0.8571484374283717,1.0,0.999999999958694,full,full_group,
diabetes,nn,pgd,0.3372222222222222,154,2,11.62987012987013,1.0,4.0,8.0,17.0,32.0,31.0,0.30995819673687375,0.0086791873242586,0.08193150706367885,0.22862000026215934,0.4589580384847927,0.9987928029770122,0.9901136156527536,0.5477883434919145,0.0,0.25,0.6,0.857489224137931,1.0,1.0,0.6083616925859628,0.0,0.40156250000000004,0.6125,0.8,1.0,1.0,0.5665563037501006,0.0,0.3664772727272727,0.5741758241758241,0.75,1.0,1.0,0.6842491775357851,0.0,0.5339285714285714,0.7,0.9068181818181819,1.0,1.0,0.6868904770746745,4.1305960435927445e-11,0.5032583347756457,0.8839158960263913,0.9709505944546688,1.0,0.999999999958694,0.5245946341921782,4.1305960435927445e-11,4.1305960435927445e-11,0.709070177506254,0.9182958340544894,1.0,0.999999999958694,full,full_group,
diabetes,svm,hsj,0.2987037037037037,154,2,24.27922077922078,1.0,16.0,32.0,32.0,32.0,31.0,0.9840601040170884,0.904181732549425,0.978691304386451,0.9920200069494455,0.9979471854878119,1.0,0.09581826745057498,0.5818839123793165,0.0,0.40625,0.6220238095238095,0.78125,1.0,1.0,0.4175208785070256,0.0,0.28125,0.40625,0.53125,0.8,0.8,0.5818185134882711,0.21875,0.46875,0.5909926470588236,0.71875,1.0,0.78125,0.6855580674265034,0.0,0.59375,0.6875,0.75,1.0,1.0,0.881958940273721,4.1305960435927445e-11,0.8571484374283717,0.9233289532246787,0.9886994082884974,1.0,0.999999999958694,0.7906724622318434,4.1305960435927445e-11,0.6962122601251458,0.8571484374283717,0.9633682247868907,1.0,0.999999999958694,full,full_group,
diabetes,svm,org,0.7012962962962963,154,2,23.51948051948052,1.0,14.0,31.5,32.0,32.0,31.0,0.6979254810809069,0.2078876074330256,0.493194047405071,0.74207712478249,0.9005873366639713,1.0,0.7921123925669744,0.6914812427757459,0.0,0.45629370629370625,0.78125,1.0,1.0,1.0,0.6953800756059146,0.2142857142857142,0.5555555555555556,0.71875,0.875,1.0,0.7857142857142858,0.6651322256576039,0.09375,0.5046296296296297,0.7165178571428572,0.875,1.0,0.90625,0.7558781805311906,0.25,0.6428571428571429,0.75,0.875,1.0,0.75,0.7411894884266901,4.1305960435927445e-11,0.5435644431995964,0.8283145305407846,0.9692326370430588,1.0,0.999999999958694,0.4868528814056763,4.1305960435927445e-11,4.1305960435927445e-11,0.5435644431995964,0.8739810481273579,1.0,0.999999999958694,full,full_group,
diabetes,svm,zoo,0.1562962962962963,154,2,21.68831168831169,1.0,11.0,26.5,32.0,32.0,31.0,0.9281896205001731,0.306209141259559,0.9115964886173703,0.9802783805006939,0.997004969902834,1.0,0.693790858740441,0.5811516164936942,0.0,0.34375,0.6282894736842105,0.84375,1.0,1.0,0.5071486193567686,0.0,0.3333333333333333,0.5,0.65625,1.0,1.0,0.5786091180816411,0.0,0.4375,0.5916666666666667,0.7458333333333333,1.0,1.0,0.7067111303626187,0.25,0.6092032967032966,0.6875,0.7953125000000001,1.0,0.75,0.8300929504689313,4.1305960435927445e-11,0.8112781244591328,0.9283620723948678,0.983888291188477,1.0,0.999999999958694,0.6724206925165486,4.1305960435927445e-11,0.5435644431995964,0.7578784625383954,0.937555375506403,1.0,0.999999999958694,full,full_group,
diabetes,xgb,hsj,0.2894444444444444,154,2,22.538961038961038,1.0,11.25,30.5,32.0,32.0,31.0,0.8483512345464124,0.1248662948648725,0.7888778647154038,0.9449394853079408,0.9930294846825993,0.999998952874934,0.8751326580100616,0.648056754523434,0.0,0.48611111111111105,0.6858552631578947,0.8854166666666666,1.0,1.0,0.3532916118937559,0.0,0.1875,0.3125,0.5,1.0,1.0,0.6366294140613328,0.0,0.5,0.6666666666666666,0.8125,1.0,1.0,0.7419332301713364,0.0,0.6428571428571429,0.75,0.84375,1.0,1.0,0.7723754961833695,4.1305960435927445e-11,0.6962122601251458,0.8571484374283717,0.9744894033980523,1.0,0.999999999958694,0.6679257869106298,4.1305960435927445e-11,0.4488644887230295,0.764253765951168,0.9659836656131343,1.0,0.999999999958694,full,full_group,
diabetes,xgb,org,0.7105555555555556,154,2,23.51948051948052,1.0,14.0,31.5,32.0,32.0,31.0,0.3235317273474033,0.0012200234445541,0.03664324139648425,0.1907841319306538,0.5392620462928188,0.999723994507054,0.9985039710624999,0.6776543098222528,0.0,0.5,0.7165178571428572,0.9661458333333334,1.0,1.0,0.6717582535645643,0.0,0.5,0.7165178571428572,0.875,1.0,1.0,0.6651322256576039,0.09375,0.5046296296296297,0.7165178571428572,0.875,1.0,0.90625,0.7493388221548832,0.0,0.6428571428571429,0.7795138888888888,0.875,1.0,1.0,0.7411894884266901,4.1305960435927445e-11,0.5435644431995964,0.8283145305407846,0.9692326370430588,1.0,0.999999999958694,0.5945551392150168,4.1305960435927445e-11,0.2006223243127146,0.709070177506254,0.954434002924965,1.0,0.999999999958694,full,full_group,
diabetes,xgb,zoo,0.1035185185185185,154,2,19.766233766233768,1.0,9.0,22.0,32.0,32.0,31.0,0.6393430451848972,0.0011893616542379,0.32005017628077814,0.763668404506876,0.9615607740326648,0.9997919264457852,0.9986025647915473,0.6180773918982867,0.0,0.5,0.6055555555555556,0.8609375,1.0,1.0,0.4366249274071854,0.0,0.25,0.42118226600985215,0.6171875,1.0,1.0,0.6324991754019824,0.0,0.5,0.6363636363636364,0.78125,1.0,1.0,0.7312556865347342,0.0,0.625,0.71875,0.84375,1.0,1.0,0.7421285891486323,4.1305960435927445e-11,0.6962122601251458,0.8904916402194913,0.9749616495551625,1.0,0.999999999958694,0.6741990258239533,4.1305960435927445e-11,0.4488644887230295,0.8112781244591328,0.9852281360342516,1.0,0.999999999958694,full,full_group,
wilt,lin,hsj,0.5,968,2,22.77995867768595,1.0,12.0,31.5,32.0,32.0,31.0,0.29506091796680517,0.0666637950331926,0.23443539976903324,0.28353367220754666,0.35144800508962964,0.589947550534201,0.5232837555010084,0.9431818181818182,0.0,1.0,1.0,1.0,1.0,1.0,0.939090798853578,0.5,0.90625,0.96875,1.0,1.0,0.5,0.9023280339869254,0.03125,0.90625,0.96875,1.0,1.0,0.96875,0.939090798853578,0.5,0.90625,0.96875,1.0,1.0,0.5,0.25340396364585066,4.1305960435927445e-11,4.1305960435927445e-11,0.2006223243127146,0.4488644887230295,1.0,0.999999999958694,4.130596043592743e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.0,full,full_group,
wilt,lin,org,0.5,968,2,22.77995867768595,1.0,12.0,31.5,32.0,32.0,31.0,0.29464725257729835,0.0645033087912344,0.23381699217209323,0.28306988384942383,0.3508541172445278,0.5900787608904458,0.5255754520992113,0.9431818181818182,0.0,1.0,1.0,1.0,1.0,1.0,0.939090798853578,0.5,0.90625,0.96875,1.0,1.0,0.5,0.9023280339869254,0.03125,0.90625,0.96875,1.0,1.0,0.96875,0.939090798853578,0.5,0.90625,0.96875,1.0,1.0,0.5,0.25340396364585066,4.1305960435927445e-11,4.1305960435927445e-11,0.2006223243127146,0.4488644887230295,1.0,0.999999999958694,4.130596043592743e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.0,full,full_group,
