var,fi,fi_rank,dataset,scenario,model_class,heldout_model,cv,attack
target_approx_consistency_in_neighborhood_q25,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q50,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q75,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q1,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_minmax,0.0,33.5,wilt,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_mean,0.0,33.5,wilt,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q0,0.0,33.5,wilt,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q25,0.0,33.5,wilt,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q50,0.0,33.5,wilt,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q75,0.0,33.5,wilt,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q1,0.0,33.5,wilt,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_minmax,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_mean,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q0,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q25,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q50,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q75,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q1,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_minmax,0.0,33.5,wilt,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_mean,0.0,33.5,wilt,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q0,0.0,33.5,wilt,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q25,0.0,33.5,wilt,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q50,0.0,33.5,wilt,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q75,0.0,33.5,wilt,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q1,0.0,33.5,wilt,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_minmax,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_mean,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q0,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q25,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q50,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q75,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q1,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_minmax,0.0,33.5,wilt,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_mean,0.0,33.5,wilt,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q0,0.0,33.5,wilt,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q25,0.0,33.5,wilt,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q50,0.0,33.5,wilt,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q75,0.0,33.5,wilt,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q1,0.0,33.5,wilt,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_minmax,0.0,33.5,wilt,one-data-set-out,XGB,,,
bacc_test_mean,1.0,1.0,wilt,one-data-set-out,XGB,,,
bacc_test_q0,0.0,33.5,wilt,one-data-set-out,XGB,,,
bacc_test_q25,0.0,33.5,wilt,one-data-set-out,XGB,,,
bacc_test_q50,0.0,33.5,wilt,one-data-set-out,XGB,,,
bacc_test_q75,0.0,33.5,wilt,one-data-set-out,XGB,,,
bacc_test_q1,0.0,33.5,wilt,one-data-set-out,XGB,,,
bacc_test_minmax,0.0,33.5,wilt,one-data-set-out,XGB,,,
n_test,0.0,33.5,,one-model-out,XGB,lin,,
n_classes,0.0,33.5,,one-model-out,XGB,lin,,
neighborhood_size_mean,0.0,33.5,,one-model-out,XGB,lin,,
neighborhood_size_q0,0.0,33.5,,one-model-out,XGB,lin,,
neighborhood_size_q25,0.0,33.5,,one-model-out,XGB,lin,,
neighborhood_size_q50,0.0,33.5,,one-model-out,XGB,lin,,
neighborhood_size_q75,0.0,33.5,,one-model-out,XGB,lin,,
neighborhood_size_q1,0.0,33.5,,one-model-out,XGB,lin,,
neighborhood_size_minmax,0.0,33.5,,one-model-out,XGB,lin,,
uncertainty_mean,0.0,33.5,,one-model-out,XGB,lin,,
uncertainty_q0,0.0,33.5,,one-model-out,XGB,lin,,
uncertainty_q25,0.0,33.5,,one-model-out,XGB,lin,,
uncertainty_q50,0.0,33.5,,one-model-out,XGB,lin,,
uncertainty_q75,0.0,33.5,,one-model-out,XGB,lin,,
uncertainty_q1,0.0,33.5,,one-model-out,XGB,lin,,
uncertainty_minmax,0.0,33.5,,one-model-out,XGB,lin,,
target_approx_consistency_in_neighborhood_mean,0.0,33.5,,one-model-out,XGB,lin,,
target_approx_consistency_in_neighborhood_q0,0.0,33.5,,one-model-out,XGB,lin,,
target_approx_consistency_in_neighborhood_q25,0.0,33.5,,one-model-out,XGB,lin,,
target_approx_consistency_in_neighborhood_q50,0.0,33.5,,one-model-out,XGB,lin,,
target_approx_consistency_in_neighborhood_q75,0.0,33.5,,one-model-out,XGB,lin,,
target_approx_consistency_in_neighborhood_q1,0.0,33.5,,one-model-out,XGB,lin,,
target_approx_consistency_in_neighborhood_minmax,0.0,33.5,,one-model-out,XGB,lin,,
pred_targets_consistency_in_neighborhood_mean,0.0,33.5,,one-model-out,XGB,lin,,
pred_targets_consistency_in_neighborhood_q0,0.0,33.5,,one-model-out,XGB,lin,,
pred_targets_consistency_in_neighborhood_q25,0.0,33.5,,one-model-out,XGB,lin,,
pred_targets_consistency_in_neighborhood_q50,0.0,33.5,,one-model-out,XGB,lin,,
pred_targets_consistency_in_neighborhood_q75,0.0,33.5,,one-model-out,XGB,lin,,
pred_targets_consistency_in_neighborhood_q1,0.0,33.5,,one-model-out,XGB,lin,,
pred_targets_consistency_in_neighborhood_minmax,0.0,33.5,,one-model-out,XGB,lin,,
target_targets_consistency_in_neighborhood_mean,0.0,33.5,,one-model-out,XGB,lin,,
target_targets_consistency_in_neighborhood_q0,0.0,33.5,,one-model-out,XGB,lin,,
target_targets_consistency_in_neighborhood_q25,0.0,33.5,,one-model-out,XGB,lin,,
target_targets_consistency_in_neighborhood_q50,0.0,33.5,,one-model-out,XGB,lin,,
target_targets_consistency_in_neighborhood_q75,0.0,33.5,,one-model-out,XGB,lin,,
target_targets_consistency_in_neighborhood_q1,0.0,33.5,,one-model-out,XGB,lin,,
target_targets_consistency_in_neighborhood_minmax,0.0,33.5,,one-model-out,XGB,lin,,
targets_and_approxs_consistency_in_neighborhood_mean,0.0,33.5,,one-model-out,XGB,lin,,
targets_and_approxs_consistency_in_neighborhood_q0,0.0,33.5,,one-model-out,XGB,lin,,
targets_and_approxs_consistency_in_neighborhood_q25,0.0,33.5,,one-model-out,XGB,lin,,
targets_and_approxs_consistency_in_neighborhood_q50,0.0,33.5,,one-model-out,XGB,lin,,
targets_and_approxs_consistency_in_neighborhood_q75,0.0,33.5,,one-model-out,XGB,lin,,
targets_and_approxs_consistency_in_neighborhood_q1,0.0,33.5,,one-model-out,XGB,lin,,
targets_and_approxs_consistency_in_neighborhood_minmax,0.0,33.5,,one-model-out,XGB,lin,,
target_diversity_in_neighborhood_mean,0.0,33.5,,one-model-out,XGB,lin,,
target_diversity_in_neighborhood_q0,0.0,33.5,,one-model-out,XGB,lin,,
target_diversity_in_neighborhood_q25,0.0,33.5,,one-model-out,XGB,lin,,
target_diversity_in_neighborhood_q50,0.0,33.5,,one-model-out,XGB,lin,,
target_diversity_in_neighborhood_q75,0.0,33.5,,one-model-out,XGB,lin,,
target_diversity_in_neighborhood_q1,0.0,33.5,,one-model-out,XGB,lin,,
target_diversity_in_neighborhood_minmax,0.0,33.5,,one-model-out,XGB,lin,,
approx_diversity_in_neighborhood_mean,0.0,33.5,,one-model-out,XGB,lin,,
approx_diversity_in_neighborhood_q0,0.0,33.5,,one-model-out,XGB,lin,,
approx_diversity_in_neighborhood_q25,0.0,33.5,,one-model-out,XGB,lin,,
approx_diversity_in_neighborhood_q50,0.0,33.5,,one-model-out,XGB,lin,,
approx_diversity_in_neighborhood_q75,0.0,33.5,,one-model-out,XGB,lin,,
approx_diversity_in_neighborhood_q1,0.0,33.5,,one-model-out,XGB,lin,,
approx_diversity_in_neighborhood_minmax,0.0,33.5,,one-model-out,XGB,lin,,
bacc_test_mean,1.0,1.0,,one-model-out,XGB,lin,,
bacc_test_q0,0.0,33.5,,one-model-out,XGB,lin,,
bacc_test_q25,0.0,33.5,,one-model-out,XGB,lin,,
bacc_test_q50,0.0,33.5,,one-model-out,XGB,lin,,
bacc_test_q75,0.0,33.5,,one-model-out,XGB,lin,,
bacc_test_q1,0.0,33.5,,one-model-out,XGB,lin,,
bacc_test_minmax,0.0,33.5,,one-model-out,XGB,lin,,
n_test,0.008655942045152187,6.0,,one-model-out,XGB,nn,,
n_classes,0.0,38.5,,one-model-out,XGB,nn,,
neighborhood_size_mean,0.0,38.5,,one-model-out,XGB,nn,,
neighborhood_size_q0,0.0,38.5,,one-model-out,XGB,nn,,
neighborhood_size_q25,0.0,38.5,,one-model-out,XGB,nn,,
neighborhood_size_q50,0.0,38.5,,one-model-out,XGB,nn,,
neighborhood_size_q75,0.0,38.5,,one-model-out,XGB,nn,,
neighborhood_size_q1,0.0,38.5,,one-model-out,XGB,nn,,
neighborhood_size_minmax,0.0,38.5,,one-model-out,XGB,nn,,
uncertainty_mean,0.00035259732976555824,9.0,,one-model-out,XGB,nn,,
uncertainty_q0,0.012957255356013775,4.0,,one-model-out,XGB,nn,,
uncertainty_q25,0.05308670550584793,3.0,,one-model-out,XGB,nn,,
uncertainty_q50,0.0,38.5,,one-model-out,XGB,nn,,
uncertainty_q75,0.0,38.5,,one-model-out,XGB,nn,,
uncertainty_q1,0.0,38.5,,one-model-out,XGB,nn,,
uncertainty_minmax,8.086589514277875e-05,10.0,,one-model-out,XGB,nn,,
target_approx_consistency_in_neighborhood_mean,0.0014271108666434884,8.0,,one-model-out,XGB,nn,,
target_approx_consistency_in_neighborhood_q0,0.0,38.5,,one-model-out,XGB,nn,,
target_approx_consistency_in_neighborhood_q25,0.0,38.5,,one-model-out,XGB,nn,,
target_approx_consistency_in_neighborhood_q50,0.0,38.5,,one-model-out,XGB,nn,,
target_approx_consistency_in_neighborhood_q75,0.0,38.5,,one-model-out,XGB,nn,,
target_approx_consistency_in_neighborhood_q1,0.0,38.5,,one-model-out,XGB,nn,,
target_approx_consistency_in_neighborhood_minmax,0.0,38.5,,one-model-out,XGB,nn,,
pred_targets_consistency_in_neighborhood_mean,0.23979191482067108,2.0,,one-model-out,XGB,nn,,
pred_targets_consistency_in_neighborhood_q0,0.0,38.5,,one-model-out,XGB,nn,,
pred_targets_consistency_in_neighborhood_q25,0.0,38.5,,one-model-out,XGB,nn,,
pred_targets_consistency_in_neighborhood_q50,0.0,38.5,,one-model-out,XGB,nn,,
pred_targets_consistency_in_neighborhood_q75,0.0,38.5,,one-model-out,XGB,nn,,
pred_targets_consistency_in_neighborhood_q1,0.0,38.5,,one-model-out,XGB,nn,,
pred_targets_consistency_in_neighborhood_minmax,0.0,38.5,,one-model-out,XGB,nn,,
target_targets_consistency_in_neighborhood_mean,0.0,38.5,,one-model-out,XGB,nn,,
target_targets_consistency_in_neighborhood_q0,0.0,38.5,,one-model-out,XGB,nn,,
target_targets_consistency_in_neighborhood_q25,0.0030374557245522738,7.0,,one-model-out,XGB,nn,,
target_targets_consistency_in_neighborhood_q50,0.0,38.5,,one-model-out,XGB,nn,,
target_targets_consistency_in_neighborhood_q75,0.0,38.5,,one-model-out,XGB,nn,,
target_targets_consistency_in_neighborhood_q1,0.0,38.5,,one-model-out,XGB,nn,,
target_targets_consistency_in_neighborhood_minmax,0.0,38.5,,one-model-out,XGB,nn,,
targets_and_approxs_consistency_in_neighborhood_mean,0.0,38.5,,one-model-out,XGB,nn,,
targets_and_approxs_consistency_in_neighborhood_q0,5.171344241716724e-07,11.0,,one-model-out,XGB,nn,,
targets_and_approxs_consistency_in_neighborhood_q25,0.009357785806059837,5.0,,one-model-out,XGB,nn,,
targets_and_approxs_consistency_in_neighborhood_q50,0.0,38.5,,one-model-out,XGB,nn,,
targets_and_approxs_consistency_in_neighborhood_q75,0.0,38.5,,one-model-out,XGB,nn,,
targets_and_approxs_consistency_in_neighborhood_q1,0.0,38.5,,one-model-out,XGB,nn,,
targets_and_approxs_consistency_in_neighborhood_minmax,0.0,38.5,,one-model-out,XGB,nn,,
target_diversity_in_neighborhood_mean,0.0,38.5,,one-model-out,XGB,nn,,
target_diversity_in_neighborhood_q0,0.0,38.5,,one-model-out,XGB,nn,,
target_diversity_in_neighborhood_q25,0.0,38.5,,one-model-out,XGB,nn,,
target_diversity_in_neighborhood_q50,0.0,38.5,,one-model-out,XGB,nn,,
