scenario,split,family,feature_count,resampler,bacc,kappa,precision_weighted,recall_weighted,f1_weighted
10-fold cross-validation,6,catboost,48,smote,0.5833333333333334,0.6658595641646489,0.8170289855072462,0.7391304347826086,0.7382385730211817
10-fold cross-validation,7,catboost,48,smote,0.6555555555555556,0.7167487684729064,0.7620772946859904,0.782608695652174,0.761429512516469
10-fold cross-validation,8,catboost,47,smote,0.5166666666666667,0.6609336609336609,0.7391304347826086,0.7391304347826086,0.7199792960662527
10-fold cross-validation,9,catboost,47,smote,0.8555555555555555,0.8317073170731707,0.8967391304347826,0.8695652173913043,0.869038208168643
one-data-set-out,banknote,extratrees,35,smoteenn,0.5370370370370371,0.5732323232323232,0.6382783882783882,0.6666666666666666,0.6131978389503473
one-data-set-out,diabetes,extratrees,35,smoteenn,0.5277777777777778,0.5221799746514575,0.669010989010989,0.6282051282051282,0.5925573470962865
one-data-set-out,wilt,extratrees,35,smoteenn,0.611111111111111,0.5666666666666667,0.6996336996336996,0.6666666666666666,0.6230769230769232
one-model-out,lin,extratrees,35,smoteenn,0.6296296296296297,0.4444444444444444,0.6476190476190476,0.6296296296296297,0.6041666666666666
one-model-out,nn,extratrees,35,smoteenn,0.25,0.0,0.0625,0.25,0.1
one-model-out,svm,extratrees,35,smoteenn,0.9074074074074074,0.8611111111111112,0.9142857142857141,0.9074074074074074,0.9067599067599068
one-model-out,xgb,extratrees,35,smoteenn,0.9444444444444443,0.9166666666666666,0.9453044375644994,0.9444444444444444,0.9444015444015443
10-fold cross-validation,0,extratrees,35,smoteenn,0.911111111111111,0.8417582417582418,0.8805555555555555,0.875,0.875
10-fold cross-validation,1,extratrees,35,smoteenn,0.7722222222222223,0.7876106194690266,0.8524305555555557,0.8333333333333334,0.8296296296296296
10-fold cross-validation,2,extratrees,35,smoteenn,1.0,1.0,1.0,1.0,1.0
10-fold cross-validation,3,extratrees,35,smoteenn,0.5722222222222223,0.6291390728476821,0.6820436507936508,0.7083333333333334,0.6895299145299146
10-fold cross-validation,4,extratrees,35,smoteenn,0.6,0.7139303482587065,0.7439613526570048,0.782608695652174,0.7524865018471157
10-fold cross-validation,5,extratrees,35,smoteenn,0.7000000000000001,0.6584158415841583,0.7548309178743962,0.7391304347826086,0.7331628303495311
10-fold cross-validation,6,extratrees,35,smoteenn,0.6611111111111111,0.7201946472019465,0.7884057971014492,0.782608695652174,0.782608695652174
10-fold cross-validation,7,extratrees,35,smoteenn,0.5722222222222223,0.6609336609336609,0.7185990338164252,0.7391304347826086,0.7179512516469038
10-fold cross-validation,8,extratrees,35,smoteenn,0.6833333333333332,0.7181372549019608,0.789855072463768,0.782608695652174,0.7692546583850932
10-fold cross-validation,9,extratrees,35,smoteenn,0.9388888888888888,0.8875305623471883,0.9184782608695652,0.9130434782608695,0.9125164690382082
one-data-set-out,banknote,rf,27,smoteenn,0.5370370370370371,0.5732323232323232,0.6564102564102564,0.6666666666666666,0.6057692307692307
one-data-set-out,diabetes,rf,23,smoteenn,0.5972222222222222,0.6136950904392764,0.6912228796844181,0.7051282051282052,0.6766666666666666
one-data-set-out,wilt,rf,27,smoteenn,0.6388888888888888,0.6166666666666667,0.7102564102564103,0.7051282051282052,0.6703962703962705
